"Observation station","Year","Month","Day","Time [Local time]","Air temperature mean [°C]","Dew-point temperature mean [°C]","Cloud cover [1/8]","Air pressure mean [hPa]","Relative humidity mean [%]","Precipitation amount mean [mm]","Weather description","Horizontal visibility mean [m]"
"Tornio Torppi","2023","1","6","21:40","-16.2","-18.2","Cloudy (8/8)","1026.9","85","0","Showers or intermittent precipitation","33648"
"Tornio Torppi","2023","1","6","21:50","-16.2","-18.2","Cloudy (8/8)","1026.9","85","0","Snow showers. light","50000"
"Tornio Torppi","2023","1","6","22:00","-16.2","-18.2","Cloudy (8/8)","1026.8","85","0","Drizzle or snow grains during previous hour, but not during observation.","46646"
"Tornio Torppi","2023","1","6","22:10","-16.2","-18.1","Cloudy (8/8)","1026.8","85","0","Drizzle or snow grains during previous hour, but not during observation.","45066"
"Tornio Torppi","2023","1","6","22:20","-16.1","-18.1","Cloudy (8/8)","1026.8","85","0","Precipitation during previous hour, but not during observation.","48009"
"Tornio Torppi","2023","1","6","22:30","-16.2","-18.2","Cloudy (8/8)","1026.8","85","0","Snow showers. light","37210"
"Tornio Torppi","2023","1","6","22:40","-16.2","-18.2","Cloudy (8/8)","1026.8","85","0","Snow showers. light","50000"
"Tornio Torppi","2023","1","6","22:50","-16.3","-18.3","Cloudy (8/8)","1026.7","84","0","Snow showers. light","26971"
"Tornio Torppi","2023","1","6","23:00","-16.3","-18.3","Cloudy (8/8)","1026.7","85","0","Snow showers. light","31421"
"Tornio Torppi","2023","1","6","23:10","-16.3","-18.3","Cloudy (8/8)","1026.8","85","0","Snow showers. light","27621"
"Tornio Torppi","2023","1","6","23:20","-16.2","-18.2","Cloudy (8/8)","1026.8","85","0","Snow showers. light","35449"
"Tornio Torppi","2023","1","6","23:30","-16.1","-18.1","Cloudy (8/8)","1026.8","85","0","Snow showers. light","27254"
"Tornio Torppi","2023","1","6","23:40","-15.9","-17.9","Cloudy (8/8)","1026.8","85","0","Snow showers. light","11916"
"Tornio Torppi","2023","1","6","23:50","-15.8","-17.7","Cloudy (8/8)","1026.7","85","0","Snow showers. light","5494"
"Tornio Torppi","2023","1","7","00:00","-15.7","-17.6","Cloudy (8/8)","1026.7","85","0","Snow showers. light","3809"
"Tornio Torppi","2023","1","7","00:10","-15.5","-17.4","Cloudy (8/8)","1026.8","85","0","Snow, light","3027"
"Tornio Torppi","2023","1","7","00:20","-15.4","-17.3","Cloudy (8/8)","1026.6","85","0","Snow, light","4265"
"Tornio Torppi","2023","1","7","00:30","-15.4","-17.3","Cloudy (8/8)","1026.7","85","0","Snow, light","6702"
"Tornio Torppi","2023","1","7","00:40","-15.3","-17.2","Cloudy (8/8)","1026.6","85","0","Snow, light","13508"
"Tornio Torppi","2023","1","7","00:50","-15.3","-17.2","Cloudy (8/8)","1026.7","85","0","Snow, light","6491"
"Tornio Torppi","2023","1","7","01:00","-15.2","-17.1","Cloudy (8/8)","1026.7","86","0","Snow, light","2892"
"Tornio Torppi","2023","1","7","01:10","-15.2","-17.1","Cloudy (8/8)","1026.7","85","0","Snow, light","2059"
"Tornio Torppi","2023","1","7","01:20","-15.3","-17.2","Cloudy (8/8)","1026.6","85","0","Snow, light","3393"
"Tornio Torppi","2023","1","7","01:30","-15.3","-17.2","Mostly cloudy (7/8)","1026.6","85","0","Snow, light","6873"
"Tornio Torppi","2023","1","7","01:40","-15.1","-16.9","Mostly cloudy (7/8)","1026.6","86","0","Snow, light","2162"
"Tornio Torppi","2023","1","7","01:50","-15","-16.8","Mostly cloudy (7/8)","1026.5","86","0","Snow, light","2316"
"Tornio Torppi","2023","1","7","02:00","-14.9","-16.7","Cloudy (8/8)","1026.5","86","0.08","Snow, light","1157"
"Tornio Torppi","2023","1","7","02:10","-14.9","-16.7","Cloudy (8/8)","1026.5","86","0.03","Snow, light","1758"
"Tornio Torppi","2023","1","7","02:20","-14.9","-16.7","Cloudy (8/8)","1026.5","86","0","Snow, light","4155"
"Tornio Torppi","2023","1","7","02:30","-15","-16.9","Mostly cloudy (7/8)","1026.5","85","0","Snow, light","11930"
"Tornio Torppi","2023","1","7","02:40","-15","-16.8","Mostly cloudy (7/8)","1026.4","86","0","Snow, light","13208"
"Tornio Torppi","2023","1","7","02:50","-14.9","-16.8","Mostly cloudy (7/8)","1026.4","86","0","Snow, light","7185"
"Tornio Torppi","2023","1","7","03:00","-14.9","-16.7","Cloudy (8/8)","1026.4","86","0","Snow, light","17312"
"Tornio Torppi","2023","1","7","03:10","-14.9","-16.8","Cloudy (8/8)","1026.3","86","0","Snow, light","20270"
"Tornio Torppi","2023","1","7","03:20","-15","-16.9","Cloudy (8/8)","1026.3","86","0","Snow, light","41267"
"Tornio Torppi","2023","1","7","03:30","-15.2","-17.2","Mostly cloudy (7/8)","1026.2","85","0","Snow showers. light","36367"
"Tornio Torppi","2023","1","7","03:40","-15.9","-17.9","Partly cloudy (5/8)","1026.1","85","0","Snow showers. light","24391"
"Tornio Torppi","2023","1","7","03:50","-16.2","-18.1","Partly cloudy (4/8)","1026","85","0","Snow showers. light","32036"
"Tornio Torppi","2023","1","7","04:00","-16.3","-18.3","Partly cloudy (5/8)","1026","84","0","Snow showers. light","29646"
"Tornio Torppi","2023","1","7","04:10","-16.2","-18.1","Mostly cloudy (7/8)","1025.9","85","0","Snow showers. light","45082"
"Tornio Torppi","2023","1","7","04:20","-16.6","-18.6","Mostly cloudy (6/8)","1025.9","84","0","Snow during previous hour, but not during observation","50000"
"Tornio Torppi","2023","1","7","04:30","-17","-19.2","Mostly clear (3/8)","1025.9","83","0","Snow showers. light","26566"
"Tornio Torppi","2023","1","7","04:40","-17.3","-19.3","Partly cloudy (4/8)","1025.8","84","0","Snow showers. light","37393"
"Tornio Torppi","2023","1","7","04:50","-16.9","-18.7","Mostly cloudy (6/8)","1025.8","86","0","Snow during previous hour, but not during observation","41009"
"Tornio Torppi","2023","1","7","05:00","-17.1","-19.2","Mostly cloudy (7/8)","1025.7","84","0","No significant weather","36046"
"Tornio Torppi","2023","1","7","05:10","-16.9","-18.9","Cloudy (8/8)","1025.7","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","05:20","-16.9","-18.9","Cloudy (8/8)","1025.7","84","0","No significant weather","43269"
"Tornio Torppi","2023","1","7","05:30","-16.7","-18.7","Cloudy (8/8)","1025.7","85","0","Snow showers. light","39096"
"Tornio Torppi","2023","1","7","05:40","-16.6","-18.6","Mostly cloudy (7/8)","1025.7","84","0","Snow showers. light","48736"
"Tornio Torppi","2023","1","7","05:50","-16.4","-18.3","Mostly cloudy (7/8)","1025.6","85","0","Snow during previous hour, but not during observation","50000"
"Tornio Torppi","2023","1","7","06:00","-16.3","-18.3","Mostly cloudy (7/8)","1025.6","85","0","Snow during previous hour, but not during observation","50000"
"Tornio Torppi","2023","1","7","06:10","-15.6","-17.2","Mostly cloudy (7/8)","1025.7","87","0","Snow showers. light","37362"
"Tornio Torppi","2023","1","7","06:20","-15.1","-16.9","Mostly cloudy (7/8)","1025.7","86","0","Snow showers. light","42641"
"Tornio Torppi","2023","1","7","06:30","-15","-16.9","Partly cloudy (4/8)","1025.7","86","0","Snow showers. light","17149"
"Tornio Torppi","2023","1","7","06:40","-15.1","-17","Mostly clear (2/8)","1025.7","86","0","Snow showers. light","40489"
"Tornio Torppi","2023","1","7","06:50","-15.3","-17.2","Clear (0/8)","1025.7","86","0","Snow showers. light","34354"
"Tornio Torppi","2023","1","7","07:00","-15.3","-17.1","Clear (1/8)","1025.7","86","0","Snow showers. light","50000"
"Tornio Torppi","2023","1","7","07:10","-15.3","-17.2","Partly cloudy (4/8)","1025.7","85","0","Snow during previous hour, but not during observation","41234"
"Tornio Torppi","2023","1","7","07:20","-15.2","-17.1","Mostly cloudy (7/8)","1025.7","86","0","Snow during previous hour, but not during observation","50000"
"Tornio Torppi","2023","1","7","07:30","-15.1","-17","Mostly cloudy (7/8)","1025.7","86","0","Drizzle or snow grains during previous hour, but not during observation.","47403"
"Tornio Torppi","2023","1","7","07:40","-15.1","-16.9","Cloudy (8/8)","1025.7","86","0","Drizzle or snow grains during previous hour, but not during observation.","44548"
"Tornio Torppi","2023","1","7","07:50","-15","-16.9","Cloudy (8/8)","1025.7","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","08:00","-15.1","-17.1","Cloudy (8/8)","1025.7","85","0","No significant weather","48408"
"Tornio Torppi","2023","1","7","08:10","-15.1","-17","Cloudy (8/8)","1025.7","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","08:20","-15.1","-17","Cloudy (8/8)","1025.8","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","08:30","-15.1","-17","Cloudy (8/8)","1025.8","85","0","No significant weather","43221"
"Tornio Torppi","2023","1","7","08:40","-15","-16.9","Cloudy (8/8)","1025.8","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","08:50","-14.8","-16.6","Cloudy (8/8)","1025.8","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","09:00","-14.7","-16.6","Cloudy (8/8)","1025.7","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","09:10","-14.7","-16.6","Cloudy (8/8)","1025.7","85","0","Snow, light","35492"
"Tornio Torppi","2023","1","7","09:20","-14.6","-16.6","Cloudy (8/8)","1025.7","85","0","Snow showers. light","48284"
"Tornio Torppi","2023","1","7","09:30","-14.6","-16.6","Mostly cloudy (7/8)","1025.6","85","0","Snow during previous hour, but not during observation","47488"
"Tornio Torppi","2023","1","7","09:40","-14.6","-16.6","Partly cloudy (4/8)","1025.6","85","0","Snow during previous hour, but not during observation","50000"
"Tornio Torppi","2023","1","7","09:50","-14.6","-16.6","Partly cloudy (5/8)","1025.6","85","0","Snow during previous hour, but not during observation","45983"
"Tornio Torppi","2023","1","7","10:00","-14.7","-16.7","Partly cloudy (5/8)","1025.8","85","0","Snow during previous hour, but not during observation","49393"
"Tornio Torppi","2023","1","7","10:10","-14.7","-16.7","Mostly cloudy (7/8)","1025.8","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","10:20","-14.7","-16.7","Mostly cloudy (7/8)","1025.9","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","10:30","-14.7","-16.7","Mostly cloudy (7/8)","1025.8","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","10:40","-14.6","-16.6","Cloudy (8/8)","1025.8","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","10:50","-14.6","-16.6","Mostly cloudy (7/8)","1025.8","85","0","Snow, light","38792"
"Tornio Torppi","2023","1","7","11:00","-14.4","-16.4","Partly cloudy (5/8)","1025.7","85","0","Snow showers. light","44837"
"Tornio Torppi","2023","1","7","11:10","-14.3","-16.2","Mostly clear (3/8)","1025.6","85","0","Snow during previous hour, but not during observation","44159"
"Tornio Torppi","2023","1","7","11:20","-14.1","-16.1","Partly cloudy (5/8)","1025.7","85","0","Snow during previous hour, but not during observation","50000"
"Tornio Torppi","2023","1","7","11:30","-13.8","-15.7","Mostly cloudy (6/8)","1025.6","85","0","Snow during previous hour, but not during observation","18975"
"Tornio Torppi","2023","1","7","11:40","-13.4","-15.4","Mostly cloudy (7/8)","1025.7","85","0","Snow showers. light","26846"
"Tornio Torppi","2023","1","7","11:50","-13.2","-15.3","Mostly cloudy (6/8)","1025.5","84","0","Snow showers. light","40463"
"Tornio Torppi","2023","1","7","12:00","-13.3","-15.4","Mostly cloudy (7/8)","1025.5","84","0","Snow during previous hour, but not during observation","50000"
"Tornio Torppi","2023","1","7","12:10","-13.1","-15.3","Mostly cloudy (7/8)","1025.3","84","0","Snow showers. light","22250"
"Tornio Torppi","2023","1","7","12:20","-13.1","-15.3","Mostly cloudy (7/8)","1025.3","83","0","Snow showers. light","40137"
"Tornio Torppi","2023","1","7","12:30","-13","-15.3","Mostly cloudy (7/8)","1025.3","83","0","Snow showers. light","13806"
"Tornio Torppi","2023","1","7","12:40","-13.1","-15.3","Mostly cloudy (7/8)","1025.1","83","0","Snow showers. light","50000"
"Tornio Torppi","2023","1","7","12:50","-13","-15.2","Mostly cloudy (7/8)","1025","84","0","Snow during previous hour, but not during observation","50000"
"Tornio Torppi","2023","1","7","13:00","-13.1","-15.2","Partly cloudy (5/8)","1024.9","84","0","Snow during previous hour, but not during observation","50000"
"Tornio Torppi","2023","1","7","13:10","-13.2","-15.2","Mostly cloudy (7/8)","1025","84","0","Snow during previous hour, but not during observation","50000"
"Tornio Torppi","2023","1","7","13:20","-13.3","-15.3","Mostly cloudy (7/8)","1024.9","85","0","Snow during previous hour, but not during observation","50000"
"Tornio Torppi","2023","1","7","13:30","-13.3","-15.3","Mostly cloudy (7/8)","1024.9","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","13:40","-13.3","-15.3","Mostly cloudy (7/8)","1024.9","85","0","No significant weather","49950"
"Tornio Torppi","2023","1","7","13:50","-13.3","-15.3","Mostly cloudy (7/8)","1024.8","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","14:00","-13.2","-15.2","Cloudy (8/8)","1024.8","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","14:10","-13.2","-15.2","Cloudy (8/8)","1024.7","85","0","No significant weather","49087"
"Tornio Torppi","2023","1","7","14:20","-13.2","-15.3","Cloudy (8/8)","1024.7","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","14:30","-13.3","-15.3","Cloudy (8/8)","1024.7","85","0","No significant weather","49143"
"Tornio Torppi","2023","1","7","14:40","-13.3","-15.3","Cloudy (8/8)","1024.5","85","0","No significant weather","42812"
"Tornio Torppi","2023","1","7","14:50","-13.3","-15.3","Cloudy (8/8)","1024.3","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","15:00","-13.3","-15.3","Cloudy (8/8)","1024.3","85","0","No significant weather","49684"
"Tornio Torppi","2023","1","7","15:10","-13.2","-15.2","Cloudy (8/8)","1024.1","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","15:20","-13.1","-15.1","Cloudy (8/8)","1024","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","15:30","-12.8","-14.9","Cloudy (8/8)","1024","84","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","15:40","-12.7","-14.8","Cloudy (8/8)","1024.1","84","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","15:50","-12.6","-14.7","Cloudy (8/8)","1024.1","84","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","16:00","-12.6","-14.6","Cloudy (8/8)","1024","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","16:10","-12.4","-14.5","Cloudy (8/8)","1023.9","85","0","No significant weather","49585"
"Tornio Torppi","2023","1","7","16:20","-12.4","-14.4","Cloudy (8/8)","1023.8","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","16:30","-12.2","-14.3","Cloudy (8/8)","1023.6","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","16:40","-12.2","-14.2","Cloudy (8/8)","1023.6","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","16:50","-12.1","-14.2","Cloudy (8/8)","1023.7","84","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","17:00","-12.2","-14.3","Cloudy (8/8)","1023.7","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","17:10","-12.3","-14.3","Cloudy (8/8)","1023.6","85","0","No significant weather","46250"
"Tornio Torppi","2023","1","7","17:20","-12.3","-14.4","Cloudy (8/8)","1023.6","85","0","No significant weather","45331"
"Tornio Torppi","2023","1","7","17:30","-12.4","-14.4","Cloudy (8/8)","1023.7","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","17:40","-12.4","-14.4","Cloudy (8/8)","1023.6","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","17:50","-12.3","-14.3","Cloudy (8/8)","1023.6","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","18:00","-12.4","-14.3","Cloudy (8/8)","1023.5","85","0","No significant weather","48798"
"Tornio Torppi","2023","1","7","18:10","-12.4","-14.3","Cloudy (8/8)","1023.5","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","18:20","-12.3","-14.2","Cloudy (8/8)","1023.4","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","18:30","-12.3","-14.2","Cloudy (8/8)","1023.2","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","18:40","-12.2","-14.2","Cloudy (8/8)","1023.2","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","18:50","-12.2","-14.1","Cloudy (8/8)","1023.2","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","19:00","-12.1","-14","Cloudy (8/8)","1023.1","86","0","No significant weather","45614"
"Tornio Torppi","2023","1","7","19:10","-11.7","-13.6","Cloudy (8/8)","1023.1","86","0","No significant weather","47194"
"Tornio Torppi","2023","1","7","19:20","-11.3","-13.4","Mostly cloudy (7/8)","1023","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","19:30","-11.2","-13.2","Mostly cloudy (7/8)","1022.9","85","0","No significant weather","49773"
"Tornio Torppi","2023","1","7","19:40","-10.8","-13","Mostly cloudy (7/8)","1022.9","83","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","19:50","-10.6","-12.9","Mostly cloudy (7/8)","1022.8","83","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","20:00","-10.4","-12.8","Mostly cloudy (7/8)","1022.7","82","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","20:10","-10.4","-12.8","Cloudy (8/8)","1022.6","82","0","No significant weather","46716"
"Tornio Torppi","2023","1","7","20:20","-10.3","-12.7","Mostly cloudy (7/8)","1022.6","83","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","20:30","-10.3","-12.7","Mostly cloudy (7/8)","1022.6","82","0","No significant weather","45136"
"Tornio Torppi","2023","1","7","20:40","-10.2","-12.7","Mostly cloudy (7/8)","1022.6","82","0","No significant weather","41276"
"Tornio Torppi","2023","1","7","20:50","-10.3","-12.6","Cloudy (8/8)","1022.6","83","0","Snow showers. light","35847"
"Tornio Torppi","2023","1","7","21:00","-10.2","-12.6","Cloudy (8/8)","1022.6","82","0","Snow showers. light","31713"
"Tornio Torppi","2023","1","7","21:10","-10.2","-12.6","Cloudy (8/8)","1022.6","82","0","Snow showers. light","43362"
"Tornio Torppi","2023","1","7","21:20","-10.2","-12.6","Cloudy (8/8)","1022.7","83","0","Snow during previous hour, but not during observation","38194"
"Tornio Torppi","2023","1","7","21:30","-10.3","-12.6","Cloudy (8/8)","1022.5","83","0","Snow during previous hour, but not during observation","49439"
"Tornio Torppi","2023","1","7","21:40","-10.2","-12.6","Mostly cloudy (7/8)","1022.6","83","0","Snow during previous hour, but not during observation","43768"
"Tornio Torppi","2023","1","7","21:50","-10.2","-12.6","Mostly cloudy (7/8)","1022.5","82","0","Snow during previous hour, but not during observation","50000"
"Tornio Torppi","2023","1","7","22:00","-10.2","-12.6","Mostly cloudy (7/8)","1022.6","82","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","22:10","-10.2","-12.6","Mostly cloudy (7/8)","1022.6","82","0","No significant weather","45946"
"Tornio Torppi","2023","1","7","22:20","-10.2","-12.6","Mostly cloudy (7/8)","1022.8","82","0","No significant weather","41846"
"Tornio Torppi","2023","1","7","22:30","-10.1","-12.6","Cloudy (8/8)","1022.8","82","0","No significant weather","48070"
"Tornio Torppi","2023","1","7","22:40","-10.2","-12.6","Cloudy (8/8)","1022.6","83","0","No significant weather","48624"
"Tornio Torppi","2023","1","7","22:50","-10.3","-12.6","Cloudy (8/8)","1022.3","83","0","No significant weather","48692"
"Tornio Torppi","2023","1","7","23:00","-10.3","-12.5","Cloudy (8/8)","1022.3","84","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","23:10","-10.5","-12.6","Cloudy (8/8)","1022.2","84","0","No significant weather","40601"
"Tornio Torppi","2023","1","7","23:20","-10.4","-12.7","Mostly cloudy (7/8)","1022.1","83","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","23:30","-10.5","-12.8","Mostly cloudy (7/8)","1022","83","0","No significant weather","47925"
"Tornio Torppi","2023","1","7","23:40","-10.5","-12.7","Mostly cloudy (7/8)","1022.1","83","0","No significant weather","50000"
"Tornio Torppi","2023","1","7","23:50","-10.5","-12.7","Mostly cloudy (7/8)","1022","83","0","No significant weather","49769"
"Tornio Torppi","2023","1","8","00:00","-10.6","-12.7","Cloudy (8/8)","1022.1","84","0","No significant weather","50000"
"Tornio Torppi","2023","1","8","00:10","-10.7","-12.8","Cloudy (8/8)","1022.1","84","0","No significant weather","50000"
"Tornio Torppi","2023","1","8","00:20","-10.7","-12.8","Cloudy (8/8)","1021.9","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","8","00:30","-10.8","-12.9","Cloudy (8/8)","1021.9","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","8","00:40","-10.6","-12.8","Cloudy (8/8)","1021.8","84","0","No significant weather","42950"
"Tornio Torppi","2023","1","8","00:50","-10.5","-12.7","Cloudy (8/8)","1021.8","84","0","No significant weather","45775"
"Tornio Torppi","2023","1","8","01:00","-10.4","-12.7","Cloudy (8/8)","1021.8","83","0","No significant weather","48239"
"Tornio Torppi","2023","1","8","01:10","-10.3","-12.7","Cloudy (8/8)","1021.8","83","0","No significant weather","45702"
"Tornio Torppi","2023","1","8","01:20","-10.3","-12.7","Cloudy (8/8)","1021.6","82","0","Snow showers. light","38381"
"Tornio Torppi","2023","1","8","01:30","-10.2","-12.7","Cloudy (8/8)","1021.6","82","0","Snow showers. light","38059"
"Tornio Torppi","2023","1","8","01:40","-10.3","-12.7","Cloudy (8/8)","1021.5","83","0","Snow during previous hour, but not during observation","46907"
"Tornio Torppi","2023","1","8","01:50","-10.2","-12.6","Cloudy (8/8)","1021.5","83","0","Snow showers. light","40619"
"Tornio Torppi","2023","1","8","02:00","-10.2","-12.6","Cloudy (8/8)","1021.5","83","0","Snow showers. light","41957"
"Tornio Torppi","2023","1","8","02:10","-10.2","-12.6","Cloudy (8/8)","1021.4","82","0","Snow showers. light","31410"
"Tornio Torppi","2023","1","8","02:20","-10.2","-12.6","Cloudy (8/8)","1021.3","82","0","Snow showers. light","38483"
"Tornio Torppi","2023","1","8","02:30","-10.2","-12.6","Cloudy (8/8)","1021.3","82","0","Snow showers. light","35477"
"Tornio Torppi","2023","1","8","02:40","-10.2","-12.6","Cloudy (8/8)","1021.2","82","0","Snow showers. light","47858"
"Tornio Torppi","2023","1","8","02:50","-10.2","-12.6","Cloudy (8/8)","1021.1","83","0","Snow showers. light","43530"
"Tornio Torppi","2023","1","8","03:00","-10.1","-12.6","Cloudy (8/8)","1021.1","82","0","Snow showers. light","44155"
"Tornio Torppi","2023","1","8","03:10","-10.2","-12.6","Cloudy (8/8)","1020.9","83","0","Snow showers. light","38720"
"Tornio Torppi","2023","1","8","03:20","-10.2","-12.6","Cloudy (8/8)","1020.8","82","0","Snow showers. light","43702"
"Tornio Torppi","2023","1","8","03:30","-10.2","-12.6","Cloudy (8/8)","1020.8","83","0","Snow showers. light","43257"
"Tornio Torppi","2023","1","8","03:40","-10.1","-12.6","Cloudy (8/8)","1020.7","82","0","Snow showers. light","37755"
"Tornio Torppi","2023","1","8","03:50","-10.2","-12.6","Cloudy (8/8)","1020.5","82","0","Snow showers. light","26568"
"Tornio Torppi","2023","1","8","04:00","-10.1","-12.6","Cloudy (8/8)","1020.5","82","0","Snow showers. light","32897"
"Tornio Torppi","2023","1","8","04:10","-10.1","-12.6","Cloudy (8/8)","1020.3","82","0","Snow grains","50000"
"Tornio Torppi","2023","1","8","04:20","-10.1","-12.5","Cloudy (8/8)","1020.2","82","0","Snow, light","7327"
"Tornio Torppi","2023","1","8","04:30","-10","-12.6","Cloudy (8/8)","1020.1","82","0","Snow, light","8451"
"Tornio Torppi","2023","1","8","04:40","-10","-12.5","Cloudy (8/8)","1020","82","0","Snow, light","5102"
"Tornio Torppi","2023","1","8","04:50","-10","-12.5","Cloudy (8/8)","1019.9","82","0","Snow, light","6688"
"Tornio Torppi","2023","1","8","05:00","-10","-12.5","Cloudy (8/8)","1019.9","82","0","Snow, light","7629"
"Tornio Torppi","2023","1","8","05:10","-10","-12.5","Cloudy (8/8)","1019.8","82","0","Snow, light","4470"
"Tornio Torppi","2023","1","8","05:20","-10","-12.5","Cloudy (8/8)","1019.6","82","0.08","Snow, light","5102"
"Tornio Torppi","2023","1","8","05:30","-10","-12.5","Cloudy (8/8)","1019.7","82","0","Snow, light","6892"
"Tornio Torppi","2023","1","8","05:40","-10","-12.3","Cloudy (8/8)","1019.6","83","0","Snow, light","2635"
"Tornio Torppi","2023","1","8","05:50","-9.9","-12.4","Mostly cloudy (7/8)","1019.5","82","0.08","Snow, light","8236"
"Tornio Torppi","2023","1","8","06:00","-9.8","-12.3","Mostly cloudy (7/8)","1019.5","82","0","Snow, light","10744"
"Tornio Torppi","2023","1","8","06:10","-9.8","-12.2","Mostly cloudy (7/8)","1019.3","82","0","Snow, light","7341"
"Tornio Torppi","2023","1","8","06:20","-9.7","-12.2","Mostly cloudy (7/8)","1019.3","82","0","Snow, light","9311"
"Tornio Torppi","2023","1","8","06:30","-9.7","-12.2","Cloudy (8/8)","1019.3","82","0","Snow, light","1695"
"Tornio Torppi","2023","1","8","06:40","-9.7","-12.2","Cloudy (8/8)","1019.2","82","0","Snow, light","13485"
"Tornio Torppi","2023","1","8","06:50","-9.7","-12.1","Cloudy (8/8)","1019.3","82","0","Snow, light","11310"
"Tornio Torppi","2023","1","8","07:00","-9.7","-12.2","Cloudy (8/8)","1019.2","82","0","Snow, light","9254"
"Tornio Torppi","2023","1","8","07:10","-9.7","-12.2","Cloudy (8/8)","1019.1","82","0","Snow, light","11430"
"Tornio Torppi","2023","1","8","07:20","-9.7","-12.2","Cloudy (8/8)","1019.1","82","0","Snow, light","3821"
"Tornio Torppi","2023","1","8","07:30","-9.7","-12.2","Cloudy (8/8)","1018.8","82","0","Snow, light","3229"
"Tornio Torppi","2023","1","8","07:40","-9.6","-12.2","Cloudy (8/8)","1018.8","82","0","Snow, light","4065"
"Tornio Torppi","2023","1","8","07:50","-9.7","-12.3","Cloudy (8/8)","1018.7","81","0","Snow, light","6765"
"Tornio Torppi","2023","1","8","08:00","-9.6","-12.4","Mostly cloudy (7/8)","1018.6","80","0.08","Snow, light","8173"
"Tornio Torppi","2023","1","8","08:10","-9.8","-12.6","Mostly cloudy (7/8)","1018.5","80","0","Snow, light","16968"
"Tornio Torppi","2023","1","8","08:20","-9.8","-12.6","Partly cloudy (4/8)","1018.4","80","0","Snow, light","15717"
"Tornio Torppi","2023","1","8","08:30","-9.9","-12.7","Mostly clear (2/8)","1018.2","80","0","Snow, light","20207"
"Tornio Torppi","2023","1","8","08:40","-9.9","-12.7","Mostly clear (3/8)","1018.2","80","0","Snow, light","29061"
"Tornio Torppi","2023","1","8","08:50","-9.8","-12.7","Partly cloudy (5/8)","1018.4","80","0","Snow, light","23889"
"Tornio Torppi","2023","1","8","09:00","-9.7","-12.5","Mostly cloudy (7/8)","1018.3","80","0","Snow, light","19939"
"Tornio Torppi","2023","1","8","09:10","-9.7","-12.5","Mostly cloudy (7/8)","1018.1","80","0","Snow, light","16941"
"Tornio Torppi","2023","1","8","09:20","-9.6","-12.5","Cloudy (8/8)","1018","80","0","Snow showers. light","19863"
"Tornio Torppi","2023","1","8","09:30","-9.6","-12.5","Cloudy (8/8)","1018.2","79","0","Snow showers. light","18472"
"Tornio Torppi","2023","1","8","09:40","-9.6","-12.5","Cloudy (8/8)","1018.2","79","0","Snow showers. light","27522"
"Tornio Torppi","2023","1","8","09:50","-9.5","-12.4","Cloudy (8/8)","1018.1","79","0.03","Snow showers. light","7764"
